Timestamp,CPU,GPU,Memory_Usage,HBM_Usage,Data_In,Data_Out
14-09-2024,52.1,27,82.1,25.4,1394,726
14-09-2024,64.7,67.3,82.1,59.9,4397,944
14-09-2024,70.2,24,81.8,44.7,794,4742
14-09-2024,53.5,10.8,81.7,28.4,3690,3162
14-09-2024,45.6,52.1,81.6,69.4,3449,2862
14-09-2024,63.7,46.9,81.5,10.7,836,860
14-09-2024,47,10.2,81.5,28.4,4053,2479
14-09-2024,22.9,36.8,81.4,41.2,2816,1466
14-09-2024,22.5,13.5,81.2,58.6,4014,2723
14-09-2024,42.3,72.4,81.2,19.2,4415,2748
14-09-2024,20.5,10.1,81.2,43.4,2136,3532
14-09-2024,89.5,48.9,81.2,67.3,2021,1117
14-09-2024,60.8,11.3,81.1,29,596,1576
14-09-2024,73.3,62.8,81.1,62.9,968,1587
14-09-2024,43.9,37.9,81.1,66.5,4350,4662
14-09-2024,87.6,56.9,80.9,18,1429,1109
14-09-2024,20,12.8,80.9,30,4081,762
14-09-2024,28.7,69.4,80.8,24.3,3589,673
14-09-2024,60.1,39.3,80.8,20.3,2072,1540
14-09-2024,22.6,23.8,80.9,36.3,3489,835
14-09-2024,49.9,30.2,80.9,47.9,2303,3326
14-09-2024,83.9,77.2,80.9,36.1,1681,1524
14-09-2024,35.1,51.6,80.9,19,4402,2368
14-09-2024,86.8,39.6,80.9,56.4,4164,2682
14-09-2024,54,74.8,80.9,34.2,2830,3522
14-09-2024,55.7,63.2,80.8,14.3,1443,2742
14-09-2024,79.3,30.6,80.8,39.4,1008,3116
14-09-2024,54.2,24.6,81,57.6,1154,4502
14-09-2024,61.3,74.8,81,42.2,612,615
14-09-2024,89.8,31.3,81,25.4,2962,3958
14-09-2024,69.8,10.4,81,68.2,3152,1781
14-09-2024,69.2,79.7,81,17.3,3438,2438
14-09-2024,66,44,81,40,2472,3890
14-09-2024,81.6,22.1,81,14.8,4093,1843
14-09-2024,36.1,71.9,82,26.9,3801,3624
14-09-2024,52.7,24.6,82.1,44.6,3516,744
14-09-2024,58.6,39.9,82,23.6,1546,4607
14-09-2024,70.8,30.9,81.7,42.8,1305,3439
14-09-2024,70.2,24.5,81.7,13.1,1763,914
14-09-2024,58.7,47.3,81.7,32.6,3176,1353
14-09-2024,63.2,51.3,81.6,66.8,4708,4918
14-09-2024,22.3,70.2,81.6,68.2,4454,2577
14-09-2024,58.7,70.7,81.6,19.4,4675,3373
14-09-2024,38.7,29.9,81.7,19.1,1772,4490
14-09-2024,85.7,20.8,81.5,33.2,2080,1295
14-09-2024,87.7,11.9,81.2,24.8,4989,3330
14-09-2024,65.2,49.9,81.3,69.6,3112,2184
14-09-2024,80.3,29.1,81.3,55.9,3578,2425
14-09-2024,80.5,41.9,81.3,33.1,3134,2044
14-09-2024,21.5,61.3,81.3,42.3,2539,2131
14-09-2024,62.4,68.1,81.3,27.3,4491,3015
14-09-2024,78.4,19.6,81.3,18.2,3985,4050
14-09-2024,28.4,39,81.2,65.1,4096,3473
14-09-2024,47.4,64.5,81.2,69.2,4561,1837
14-09-2024,57.8,53.7,81.2,18.5,4387,3666
14-09-2024,27.7,11.2,81.1,24.3,2975,3030
14-09-2024,65.2,60.8,81,33.2,1005,1869
14-09-2024,65.1,37.5,81,51.5,1509,3032
14-09-2024,45.1,39.2,81,50,4052,3902
14-09-2024,79.9,77.8,81,20.7,2334,4470
14-09-2024,43.7,59.7,81,47.7,4333,4259
14-09-2024,51.2,13.3,81,64.2,4788,1059
14-09-2024,23.2,45.9,81,67.3,1534,2922
14-09-2024,22.2,18.5,81,52,2755,1481
14-09-2024,35.4,48.4,81,48.4,2024,2796
14-09-2024,25.7,57.6,81,19.1,2980,2400
14-09-2024,24.7,16.9,81,45.3,2425,775
14-09-2024,30.8,44.5,81.2,52.8,1896,2827
14-09-2024,80.8,41,81.2,67.7,2772,4938
14-09-2024,58,71.6,81.2,59.7,4118,3080
14-09-2024,60.4,56.7,81.2,49,835,3961
14-09-2024,27.4,15.9,81.2,60.3,2236,4517
14-09-2024,83.9,24.3,81.2,54.7,865,3602
14-09-2024,88.8,26.6,81.2,11.5,1199,1812
14-09-2024,26.3,70.9,81.1,61.3,3242,2286
14-09-2024,84.7,58.4,81.1,40.6,1682,2469
14-09-2024,85.4,41.4,81.1,53,2918,1470
14-09-2024,68.7,71,81.1,28.4,1547,4890
14-09-2024,74.2,48.9,81.1,38.6,4009,2217
14-09-2024,23.8,48.2,81.1,34.8,2064,3591
14-09-2024,34.2,58.6,81.1,27.6,1518,2654
14-09-2024,56.4,42.8,81.1,58,4671,2758
14-09-2024,34.9,35.9,81.1,28.5,1193,3970
14-09-2024,77.3,57.5,81.1,44.8,3559,4053
