Timestamp,CPU,GPU,Memory_Usage,HBM_Usage,Data_In,Data_Out
2024-09-14 10:12:39,36.8,39.2,81.9,35.5,2902,2735
2024-09-14 10:12:41,78.8,11.8,82.0,52.7,3676,1948
2024-09-14 10:12:41,89.1,22.8,81.9,64.1,914,3292
2024-09-14 10:12:43,20.0,58.0,82.1,31.0,2375,4427
2024-09-14 10:12:44,80.2,12.6,82.0,35.9,940,2381
2024-09-14 10:12:45,79.2,40.0,82.0,24.0,2800,2849
2024-09-14 10:12:47,54.1,71.2,82.0,47.0,4462,714
2024-09-14 10:12:48,55.0,65.3,81.6,46.2,2663,2107
2024-09-14 10:12:50,71.4,55.0,81.7,33.8,3307,1418
2024-09-14 10:12:51,23.2,41.2,81.7,60.8,2899,2817
2024-09-14 10:12:53,40.4,10.3,81.7,61.6,1800,1898
2024-09-14 10:12:54,26.6,53.6,81.5,31.5,4311,4547
2024-09-14 10:12:55,75.0,59.8,81.5,48.4,3302,4302
2024-09-14 10:12:56,39.9,26.2,81.5,13.8,763,3874
2024-09-14 10:12:57,74.6,65.1,81.5,54.5,3518,1265
2024-09-14 10:12:58,56.5,28.9,81.5,32.1,4617,2659
2024-09-14 10:12:59,64.5,60.6,81.4,40.6,4839,2360
2024-09-14 10:13:01,45.6,11.2,81.4,31.2,789,978
2024-09-14 10:13:01,55.7,67.8,81.7,12.1,4268,2339
2024-09-14 10:13:03,62.8,45.5,81.7,34.7,759,4301
2024-09-14 10:13:04,88.2,70.1,81.7,19.7,4835,502
2024-09-14 10:13:06,26.6,73.6,81.5,24.7,2761,2589
2024-09-14 10:13:07,35.1,78.1,81.5,49.8,986,1775
2024-09-14 10:13:08,70.1,58.8,81.5,17.1,2818,3432
2024-09-14 10:13:09,30.8,73.1,81.5,62.8,511,3960
2024-09-14 10:13:10,58.1,12.6,81.5,69.2,1706,3286
2024-09-14 10:13:11,75.6,21.5,81.6,12.1,2989,2031
2024-09-14 10:13:12,29.3,55.2,81.5,37.5,2584,728
2024-09-14 10:13:13,57.9,76.2,81.5,27.1,2311,1263
2024-09-14 10:13:14,55.7,44.2,81.5,22.3,1150,3378
2024-09-14 10:13:16,26.8,37.5,81.4,65.2,3288,2423
2024-09-14 10:13:18,29.7,40.6,81.4,34.1,1870,1145
2024-09-14 10:13:20,53.3,70.8,81.3,13.3,2628,2615
2024-09-14 10:13:21,83.7,74.1,81.3,18.4,892,2349
2024-09-14 10:13:23,66.8,57.2,81.3,58.1,3077,4844
2024-09-14 10:13:25,86.2,60.6,81.3,19.5,3435,3778
2024-09-14 10:13:27,81.5,70.4,81.3,34.1,850,902
2024-09-14 10:13:29,34.5,31.0,81.3,52.6,4240,2460
2024-09-14 10:13:30,58.2,11.2,81.3,50.0,885,2144
2024-09-14 10:13:31,82.6,70.1,81.3,61.8,4809,2505
2024-09-14 10:13:33,47.2,65.5,81.3,37.0,1243,2472
2024-09-14 10:13:35,44.1,22.9,81.3,53.1,915,3599
2024-09-14 10:13:36,38.3,67.7,81.3,11.4,829,2080
2024-09-14 10:13:37,86.5,61.0,81.3,50.5,3481,1113
2024-09-14 10:13:38,54.5,75.3,81.3,31.5,2807,2649
2024-09-14 10:13:39,53.0,74.5,81.3,40.8,2039,4491
2024-09-14 10:13:41,85.5,69.5,81.3,10.3,4837,1597
2024-09-14 10:13:41,21.3,61.7,81.3,26.8,3363,2514
2024-09-14 10:13:43,74.3,50.6,81.5,62.6,4884,2497
2024-09-14 10:13:44,57.6,28.2,81.5,11.1,4580,567
2024-09-14 10:13:44,71.2,23.5,81.5,31.3,1784,3471
2024-09-14 10:13:45,35.0,20.3,81.5,19.7,519,4955
2024-09-14 10:13:46,46.7,68.7,81.0,50.9,1116,585
2024-09-14 10:13:47,44.6,47.0,81.0,55.6,1364,1309
2024-09-14 10:13:48,78.9,15.1,81.0,69.2,3522,2394
2024-09-14 10:13:49,30.4,59.7,81.0,56.7,4110,2640
2024-09-14 10:13:50,38.7,45.2,81.1,22.1,3444,2867
2024-09-14 10:13:51,88.1,31.8,81.1,20.3,2323,3989
2024-09-14 10:13:51,78.3,57.4,81.1,10.1,1401,2694
2024-09-14 10:13:52,84.8,13.5,81.0,24.3,2796,2765
2024-09-14 10:13:53,84.5,69.7,81.0,42.2,3308,3803
2024-09-14 10:13:53,48.3,75.3,81.0,32.4,758,4165
2024-09-14 10:13:55,52.2,51.5,81.0,59.9,2736,2098
2024-09-14 10:13:56,48.5,46.1,80.9,26.5,1784,1228
2024-09-14 10:13:58,56.9,45.4,80.9,28.8,4318,3818
2024-09-14 10:14:00,37.9,27.2,80.9,43.8,4189,2475
2024-09-14 10:14:01,27.5,79.7,80.9,21.7,2264,630
2024-09-14 10:14:02,86.1,56.0,80.9,25.7,2821,3145
2024-09-14 10:14:04,43.6,67.8,81.5,66.3,2545,3383
2024-09-14 10:14:06,77.6,77.4,82.0,61.0,1033,2129
2024-09-14 10:14:07,48.3,55.3,82.1,30.4,1124,2417
2024-09-14 10:14:08,35.3,46.6,82.4,11.8,3711,4115
2024-09-14 10:14:09,46.0,49.2,82.4,65.3,1018,524
2024-09-14 10:14:10,85.8,70.6,82.4,51.4,4118,2959
2024-09-14 10:14:11,79.2,72.1,82.4,59.0,4034,3014
2024-09-14 10:14:11,54.8,23.3,82.3,32.6,4381,1248
2024-09-14 10:14:13,66.9,75.0,82.5,60.4,2445,868
2024-09-14 10:14:14,81.5,57.8,82.5,52.4,3446,2027
2024-09-14 10:14:15,71.7,42.7,82.4,66.5,3226,2905
2024-09-14 10:14:17,82.7,76.8,82.6,11.0,1519,1220
2024-09-14 10:14:19,51.3,79.2,82.7,59.3,3676,3197
2024-09-14 10:14:20,88.3,70.3,82.7,58.7,3307,3702
2024-09-14 10:14:22,73.6,60.3,82.9,63.7,1984,2508
